草,毒,晴天,陰天,0.2,0.1,118,111,128,0.7,6.9,25,10000,25,3.0,3.75,0.382,0.654,0.875,種子寶可夢,經常可見牠在太陽下睡午覺的樣子。在沐浴了充足的陽光之後，牠背上的種子就會成長茁壯。
草,毒,晴天,陰天,0.2,0.1,118,111,128,0.7,6.9,,10000,25,3.0,3.75,0.382,0.654,0.875,種子寶可夢,經常可見牠在太陽下睡午覺的樣子。在沐浴了充足的陽光之後，牠背上的種子就會成長茁壯。
草,毒,晴天,陰天,0.1,0.07,151,143,155,1.0,13.0,100,10000,25,3.0,3.984,0.319,0.637,0.875,種子寶可夢,下盤為了支撐背上的花苞而變得強韌。當待在太陽底下一動也不動的時間變長，就表示大朵的花即將盛開。
草,毒,晴天,陰天,0.05,0.05,198,189,190,2.0,100.0,,10000,25,3.0,5.692,0.759,1.035,0.875,種子寶可夢,據說充足的營養和陽光會讓花朵的顏色變得更加鮮豔。花朵散發的香氣能夠療癒人心。
草,毒,晴天,陰天,0.05,0.05,198,189,190,2.0,100.0,,10000,25,3.0,5.692,0.759,1.035,0.875,種子寶可夢,據說充足的營養和陽光會讓花朵的顏色變得更加鮮豔。花朵散發的香氣能夠療癒人心。
火,,晴天,,0.2,0.1,116,93,118,0.6,8.5,25,10000,25,3.0,2.812,0.156,0.469,0.875,蜥蜴寶可夢,尾巴上的火焰代表牠的心情。開心時火焰會搖曳晃動，生氣時火焰則會猛烈燃燒。
火,,晴天,,0.2,0.1,116,93,118,0.6,8.5,,10000,25,3.0,2.812,0.156,0.469,0.875,蜥蜴寶可夢,尾巴上的火焰代表牠的心情。開心時火焰會搖曳晃動，生氣時火焰則會猛烈燃燒。
火,,晴天,,0.1,0.07,158,126,151,1.1,19.0,100,10000,25,3.0,4.249,0.258,0.772,0.875,火焰寶可夢,會用銳利的爪子無情地打倒對手。遇到強敵時會興奮起來，尾巴上會燃起藍白色的火焰。
火,飛行,晴天,強風,0.05,0.05,223,173,186,1.7,90.5,,10000,25,3.0,5.0,0.405,1.012,0.875,火焰寶可夢,會在空中四處飛翔尋找強大的對手。在面對比自己弱小的對手時，牠不會吐出那可熔化一切的高溫火焰。
火,飛行,晴天,強風,0.05,0.05,223,173,186,1.7,90.5,,10000,25,3.0,5.0,0.405,1.012,0.875,火焰寶可夢,會在空中四處飛翔尋找強大的對手。在面對比自己弱小的對手時，牠不會吐出那可熔化一切的高溫火焰。
水,,雨天,,0.2,0.1,94,121,127,0.5,9.0,25,10000,25,3.0,2.869,0.23,0.383,0.875,小龜寶可夢,甲殼的作用不僅是用來保護自己，圓潤的外形和表面的溝槽會減少水的阻力，使牠能夠快速地游泳。
水,,雨天,,0.2,0.1,94,121,127,0.5,9.0,,10000,25,3.0,2.869,0.23,0.383,0.875,小龜寶可夢,甲殼的作用不僅是用來保護自己，圓潤的外形和表面的溝槽會減少水的阻力，使牠能夠快速地游泳。
水,,雨天,,0.1,0.07,126,155,153,1.0,22.5,100,10000,25,3.0,3.75,0.25,0.625,0.875,龜寶可夢,長滿蓬鬆毛髮的大尾巴，顏色會隨著年齡增長而變深。甲殼上的傷痕是強者的證明。
